N,ns/op
3000.0,1.027682
3100.0,0.885598
3300.0,0.898887
3400.0,0.879621
3300.0,0.87128
800.0,1.048624
4200.0,0.912778
1900.0,1.050975
400.0,0.875917
200.0,1.07547
2900.0,0.923676
4800.0,0.887954
900.0,0.941105
400.0,1.078743
900.0,0.983341
2700.0,1.031479
3900.0,0.88927
700.0,0.979067
2600.0,0.883605
400.0,1.013178
2100.0,0.884864
2700.0,1.001286
3800.0,0.980583
3600.0,0.901747
1600.0,1.041185
2400.0,1.036755
500.0,0.865212
2700.0,0.993307
1600.0,1.058107
1100.0,1.080805
4900.0,0.994155
4900.0,0.964672
2300.0,1.007834
1600.0,1.060861
2800.0,0.899691
1100.0,0.988044
1700.0,0.882292
300.0,0.914231
3400.0,0.863034
1700.0,1.029473
3400.0,1.002938
1200.0,1.03955
1300.0,1.062706
200.0,1.063814
700.0,1.060568
2900.0,0.897666
4700.0,1.009458
4900.0,0.919604
4500.0,0.870719
1400.0,0.8851
3900.0,0.871997
3800.0,1.02376
2800.0,1.021279
4700.0,0.871493
3600.0,0.918461
3800.0,0.889898
4100.0,0.863563
4800.0,0.951811
3400.0,0.933491
300.0,0.881249
100.0,1.146216
1300.0,0.975071
2500.0,1.051437
400.0,1.046733
600.0,1.024021
2700.0,0.988221
2700.0,0.962345
3100.0,1.049243
2200.0,0.885267
2400.0,1.038775
2600.0,0.90852
4200.0,1.010664
2200.0,0.993053
4900.0,0.972594
3100.0,0.937502
2300.0,0.906486
2800.0,0.91643
2800.0,0.950815
3700.0,0.958988
700.0,1.154621
3800.0,0.97921
4800.0,0.948721
4800.0,0.878659
1300.0,1.06419
600.0,1.103197
2600.0,0.978962
4700.0,0.95085
3700.0,1.024731
3900.0,0.908303
2400.0,0.943732
3600.0,0.857682
300.0,0.861293
4900.0,0.865172
4400.0,0.916103
3600.0,0.974714
4200.0,0.954863
3000.0,0.982882
1100.0,1.064501
3900.0,1.025116
600.0,1.008923
1700.0,1.057461
4600.0,1.009715
4500.0,0.997126
4900.0,0.968179
4700.0,0.946953
300.0,1.0593
2200.0,1.037451
1900.0,1.04576
4400.0,1.01537
1300.0,1.019157
3100.0,0.868513
4700.0,0.994189
3800.0,0.891433
1900.0,1.02194
2300.0,1.043421
4900.0,0.9474
4000.0,0.944313
100.0,1.110195
2600.0,0.961036
4400.0,0.918527
1900.0,1.001007
700.0,0.924293
2000.0,0.866161
2100.0,1.004844
3700.0,0.9946
3500.0,1.04502
3300.0,0.990484
600.0,1.070324
3400.0,0.956337
1900.0,0.949097
4700.0,0.971447
700.0,1.099616
2400.0,1.016644
3900.0,0.899809
500.0,1.148078
3500.0,1.004286
3500.0,0.970952
200.0,0.859567
900.0,1.057456
700.0,1.073985
3600.0,0.976422
2000.0,0.972504
2700.0,1.037231
2800.0,0.935792
